Medicine Name,Uses,Manufacturer
Amicline Tablet, Worm infections Intestinal amoebiasis,Franco-Indian Pharmaceuticals Pvt Ltd
Arpizol 2mg Tablet, Schizophrenia Mania,Sun Pharmaceutical Industries Ltd
Acutret 10 Capsule,Treatment of Acne,Ipca Laboratories Ltd
Amaryl M Forte 2mg Tablet PR,Treatment of Type 2 diabetes mellitus,Sanofi India Ltd
Ampilox DS Tablet,Treatment of Bacterial infections,Biochem Pharmaceutical Industries
Alzil 5 Tablet, Alzheimer's disease,Intas Pharmaceuticals Ltd
Azoran 25 Tablet, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis,RPG Life Sciences Ltd
Angicam-Beta Tablet,Treatment of Hypertension (high blood pressure),Blue Cross Laboratories Ltd
Altonil 5 Tablet MD,Treatment of InsomniaTreatment of Jet lag,Alteus Biogenics Pvt Ltd
Abd 400mg Tablet,Treatment of Parasitic infections,Intas Pharmaceuticals Ltd
Amlosafe TM 40 Tablet,Treatment of Hypertension (high blood pressure),Aristo Pharmaceuticals Pvt Ltd
Anxipan Capsule, Acidity Heartburn Anxiety,Medley Pharmaceuticals
Amtas-AT Tablet,Treatment of Hypertension (high blood pressure),Intas Pharmaceuticals Ltd
Azimax 500 Tablet,Treatment of Bacterial infections,Cipla Ltd
Aztogold 20 Capsule,Prevention of Heart attack,Sun Pharmaceutical Industries Ltd
Aldactone 100 Tablet, Hypertension (high blood pressure) Edema Low potassium Heart failure,RPG Life Sciences Ltd
Amitone 25mg Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,Intas Pharmaceuticals Ltd
Acimol-SP Tablet, Pain relief,Leeford Healthcare Ltd
Afdura Tablet ER,Treatment of Benign prostatic hyperplasia,Sun Pharmaceutical Industries Ltd
Aceclo SR Tablet, Pain relief,Aristo Pharmaceuticals Pvt Ltd
Acrotac 25mg Capsule, Psoriasis,Sun Pharmaceutical Industries Ltd
Air 120 Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Systopic Laboratories Pvt Ltd
Alight Plus Gel 15gm for Acne Treatment,Treatment of Acne,Leeford Healthcare Ltd
Asthakind-DX Syrup Sugar Free,Treatment of Dry cough,Mankind Pharma Ltd
Avas CV 10 Capsule, Heart attack prevention and high cholesterol,Micro Labs Ltd
AB Phylline Syrup,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),Sun Pharmaceutical Industries Ltd
Amlokind-H Tablet, Hypertension (high blood pressure),Mankind Pharma Ltd
Amtas-M 50 Tablet PR,Treatment of Hypertension (high blood pressure),Intas Pharmaceuticals Ltd
Aclind BP 2.5% Gel, Acne,Mohrish Pharmaceuticals
Aprezo 10 Tablet, Plaque psoriasis,Glenmark Pharmaceuticals Ltd
Arbitel-AM Tablet,Treatment of Hypertension (high blood pressure),Micro Labs Ltd
Anabel-CT Gel,Treatment of Mouth ulcers,Group Pharmaceuticals Ltd
Anafortan-MF 50mg/250mg Tablet, Abdominal cramp,Abbott
Acnedap Gel, Acne,Cipla Ltd
Aziderm 20% Gel,Treatment of Acne,Micro Labs Ltd
Asthakind-LS Junior Expectorant,Treatment of Cough with mucus,Mankind Pharma Ltd
Atonide Cream, Skin conditions with inflammation & itching,Curatio Healthcare India Pvt Ltd
Ampoxin 250 Capsule,Treatment of Bacterial infections,Torrent Pharmaceuticals Ltd
Ascoril Flu Drops,Treatment of Common cold,Glenmark Pharmaceuticals Ltd
Aerodil  Expectorant,Treatment of Cough with mucus,Zydus Cadila
Alevo 500 Tablet,Treatment of Bacterial infections,Alkem Laboratories Ltd
Amaryl M Forte 1mg Tablet PR,Treatment of Type 2 diabetes mellitus,Sanofi India Ltd
Acimol MR 100mg/325mg/250mg Tablet,Treatment of Muscular pain,Leeford Healthcare Ltd
Anfoe 10000IU Injection,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,La Renon Healthcare Pvt Ltd
Acnovate Gel,Treatment of Acne,Apex Laboratories Pvt Ltd
Alcarex Eye Drop, Allergic eye disease,Ajanta Pharma Ltd
Alex-L Cough Syrup Mango Sugar Free,Treatment of Dry cough,Glenmark Pharmaceuticals Ltd
Azifast 500 Tablet,Treatment of Bacterial infections,Ipca Laboratories Ltd
Azivent 500 Tablet,Treatment of Bacterial infections,Aristo Pharmaceuticals Pvt Ltd
Amlong-H Tablet, Hypertension (high blood pressure),Micro Labs Ltd
Ambrolite Levo Syrup,Treatment of Cough with mucus,Tablets India Limited
Anaflam TH  4  Tablet,Treatment of Muscular pain,Albert David Ltd
Alex P Syrup, Common cold,Glenmark Pharmaceuticals Ltd
Amlopres AT 25 Tablet,Treatment of Hypertension (high blood pressure),Cipla Ltd
AB-Next Gel, Acne,Lupin Ltd
Airz Capsule, Chronic obstructive pulmonary disease (COPD) General Anaesthesia Peptic ulcer disease,Glenmark Pharmaceuticals Ltd
Amrox Syrup,Treatment of Cough with mucus,Leeford Healthcare Ltd
Alkasol Oral Solution Sugar Free,Treatment of GoutTreatment of Kidney stone,Stadmed Pvt Ltd
Atchol-ASP Capsule,Treatment of Prevention of heart attack and stroke,Aristo Pharmaceuticals Pvt Ltd
Amlovas-M 5/50 Tablet PR,Treatment of Hypertension (high blood pressure),Macleods Pharmaceuticals Pvt Ltd
Atchol 40 Tablet, High cholesterolPrevention of Heart attack,Aristo Pharmaceuticals Pvt Ltd
Arflur 3D Tablet, Pain relief,FDC Ltd
Aerocort Forte Rotacap, Asthma,Cipla Ltd
Aginal-AT Tablet,Treatment of Hypertension (high blood pressure),Alembic Pharmaceuticals Ltd
Azibact 200 Readymix Oral Suspension,Treatment of Bacterial infections,Ipca Laboratories Ltd
Asprito 2 Tablet, Schizophrenia Mania,Intas Pharmaceuticals Ltd
Altacef 500 Tablet,Treatment of Bacterial infections,Glenmark Pharmaceuticals Ltd
Airz-FF Capsule, General Anaesthesia Peptic ulcer disease,Glenmark Pharmaceuticals Ltd
Advent 228.5mg Dry Syrup Tangy Orange,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Cipla Ltd
Azithral-XL 100 Liquid,Treatment of Bacterial infections,Alembic Pharmaceuticals Ltd
Amlong MT 50 Tablet PR,Treatment of Hypertension (high blood pressure),Micro Labs Ltd
Actrapid 100 IU/ml Flexpen, Diabetes,Novo Nordisk India Pvt Ltd
Acamptas 333 Tablet, Alcohol addiction,Intas Pharmaceuticals Ltd
Acinil-O Oral Suspension, Acidity Heartburn Stomach ulcers,Veritaz Healthcare Ltd
AF-K Lotion,Treatment of Fungal skin infectionsTreatment of Dandruff,Systopic Laboratories Pvt Ltd
Anafortan Drop, Abdominal cramp,Abbott
Anti-Thyrox 10 Tablet, Hyperthyroidism,Macleods Pharmaceuticals Pvt Ltd
Amyclox-LB Capsule, Bacterial infections,Ind Swift Laboratories Ltd
Alphagan Z Ophthalmic Solution,Treatment of Glaucoma,Allergan India Pvt Ltd
Azithral Eye Drop,Treatment of Bacterial eye infections,Alembic Pharmaceuticals Ltd
Addphos Granules,Treatment of High calcium levels in the bloodTreatment of Hyperparathyroidism,Steadfast Medishield Pvt Ltd
Azulix 1 Tablet,Treatment of Type 2 diabetes mellitus,Torrent Pharmaceuticals Ltd
Aricep 23 SR Tablet, Alzheimer's disease,Eisai Pharmaceuticals India Pvt Ltd
Aceloflam Plus Tablet, Pain relief,Alkem Laboratories Ltd
Amantex Tablet,Treatment of Parkinson's disease,Intas Pharmaceuticals Ltd
Altonil 5mg Tablet,Treatment of InsomniaTreatment of Jet lag,Alteus Biogenics Pvt Ltd
AZR Tablet, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis,Ipca Laboratories Ltd
Aquazide 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,Sun Pharmaceutical Industries Ltd
Asthalin Plus Expectorant,Treatment of Cough with mucus,Cipla Ltd
Axalin  Expectorant, Cough,Cipla Ltd
Aquasurge  Max Eye Drop,Treatment of Dry eyes,Ipca Laboratories Ltd
Ambrodil-LX Drop,Acute Sore throatTreatment of Cough with mucus,Aristo Pharmaceuticals Pvt Ltd
Aldonil Tablet, Diabetic nerve pain,Zydus Cadila
Alcros 100 Capsule,Treatment of Fungal infections,Acme Generics LLP
Aspisol 75 Tablet, Prevention of heart attack and stroke,Shreya Life Sciences Pvt Ltd
Advent 228.5mg Dry Syrup,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Cipla Ltd
Atorfit CV 20 Capsule, Heart attack prevention and high cholesterol,Ajanta Pharma Ltd
Atchol 20 Tablet, High cholesterolPrevention of Heart attack,Aristo Pharmaceuticals Pvt Ltd
Anafortan N 100 mg/50 mg Tablet,Treatment of Abdominal cramp,Abbott
Amlovas H  Tablet, Hypertension (high blood pressure),Macleods Pharmaceuticals Pvt Ltd
Axogurd NT Tablet SR,Treatment of Neuropathic pain,Alembic Pharmaceuticals Ltd
Azulix 2 MF Forte Tablet PR,Treatment of Type 2 diabetes mellitus,Torrent Pharmaceuticals Ltd
Aztor 80 Tablet, High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Abel 40 Tablet, Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Lupin Ltd
Ambrolite 2S Expectorant, Cough,Tablets India Limited
Amlodac 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Zydus Cadila
Amlokind 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Mankind Pharma Ltd
ATM 200 Oral Suspension,Treatment of Bacterial infections,Indoco Remedies Ltd
Actibile 150 Tablet,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,Zydus Cadila
Atorlip 20 Tablet, High cholesterolPrevention of Heart attack,Cipla Ltd
Aristogyl 400 Tablet,Treatment of Bacterial infectionsTreatment of Parasitic infections,Aristo Pharmaceuticals Pvt Ltd
Aplazar Tablet,Treatment of Chronic kidney disease,Steadfast Medishield Pvt Ltd
Avas 40 Tablet, High cholesterolPrevention of Heart attack,Micro Labs Ltd
Acemyoset Tablet SR, Pain due to muscle spasm,Sparsh Remedies Pvt Ltd
Amiject 500mg Injection, Bacterial infections,Alkem Laboratories Ltd
Amplinak Ophthalmic Suspension,Treatment of Post-operative eye pain and inflammation,Allergan India Pvt Ltd
Aziderm 15% Gel,Treatment of Acne,Micro Labs Ltd
Acnetor AD Gel,Treatment of Acne,Torrent Pharmaceuticals Ltd
Acotibien 100mg Tablet,Treatment of Functional dyspepsia,La Renon Healthcare Pvt Ltd
Arflur-P Tablet, Pain relief,FDC Ltd
Alfakit Tablet,Treatment of Chronic kidney disease,Plasoron biotech
Atocor-F Tablet,Treatment of High cholesterolPrevention of Heart attack,Dr Reddy's Laboratories Ltd
Amrosys Cream, Fungal nail infections,Systopic Laboratories Pvt Ltd
AD 10mg Sachet,Treatment of Diarrhea,Hetero Drugs Ltd
Aldonil OD Tablet, Diabetic nerve pain,Zydus Cadila
Anthocyn-TX Tablet,Treatment of Melasma,Alniche Life Sciences Pvt Ltd
Alcoliv Tablet, Alcoholic fatty liver disease,Sun Pharmaceutical Industries Ltd
Acenac Tablet, Pain relief,Medley Pharmaceuticals
Acetik Ear Drop, Ear infection,NuLife Pharmaceuticals
Advent 91.4mg Drops Tangy Orange,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Cipla Ltd
Acnelak-CLZ Cream,Treatment of Acne,A. Menarini India Pvt Ltd
ATM 100 Oral Suspension,Treatment of Bacterial infections,Indoco Remedies Ltd
Aprezo 20 Tablet, Plaque psoriasis,Glenmark Pharmaceuticals Ltd
Arbitel-MT 50 Tablet ER,Treatment of Hypertension (high blood pressure),Micro Labs Ltd
Ascovent -SR Tablet,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),Glenmark Pharmaceuticals Ltd
Azulix 3 MF Tablet PR,Treatment of Type 2 diabetes mellitus,Torrent Pharmaceuticals Ltd
Actoid 25mg Capsule, Psoriasis,Intas Pharmaceuticals Ltd
Atorva 5 Tablet, High cholesterolPrevention of Heart attack,Zydus Cadila
Amitax 500mg Injection, Bacterial infections,Alkem Laboratories Ltd
Amlovas 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Macleods Pharmaceuticals Pvt Ltd
Asomex-AT Tablet,Treatment of Hypertension (high blood pressure),Emcure Pharmaceuticals Ltd
Arvast 10 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Intas Pharmaceuticals Ltd
Atocor 40 Tablet, High cholesterolPrevention of Heart attack,Dr Reddy's Laboratories Ltd
Alcros 200 Capsule,Treatment of Fungal infections,Acme Generics LLP
Azapure Tablet, Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis,Intas Pharmaceuticals Ltd
Amaryl 3mg Tablet,Treatment of Type 2 diabetes mellitus,Sanofi India Ltd
Allrite DC Tablet ER, Sneezing and runny nose due to allergies,Zydus Cadila
Apraize 30 Tablet, Plaque psoriasis,Ipca Laboratories Ltd
Aravon Injection, Amyotrophic lateral sclerosis (ALS),Sun Pharmaceutical Industries Ltd
Atorva Gold 20 Capsule,Prevention of Heart attack,Zydus Cadila
Asthakind-LS Drop,Treatment of Cough with mucus,Mankind Pharma Ltd
Alastin 10mg Tablet,Treatment of Allergic conditions,Leeford Healthcare Ltd
Addkay Tablet PR,Treatment of Potassium deficiency,Steadfast Medishield Pvt Ltd
Aten-D Tablet, Hypertension (high blood pressure),Zydus Cadila
Acnicin Gel,Treatment of Acne,Alembic Pharmaceuticals Ltd
Alkamed Syrup,Treatment of GoutTreatment of Kidney stone,Med Manor Organics Pvt Ltd
Acnesol 1% solution,Treatment of Bacterial infections,Systopic Laboratories Pvt Ltd
Astymin-SN Infusion, Nutritional deficiencies,Tablets India Limited
AF 300 Tablet,Treatment of Fungal infections,Systopic Laboratories Pvt Ltd
Acecloren Tablet, Pain relief,Indoco Remedies Ltd
Atormac 10 Tablet, High cholesterolPrevention of Heart attack,Macleods Pharmaceuticals Pvt Ltd
Ambrican 5 Tablet, Pulmonary arterial hypertension (PAH),Lupin Ltd
Azeflo FT Nasal Spray,Treatment of Sneezing and runny nose due to allergies,Lupin Ltd
Arachitol 3L Injection,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,Abbott
Acivir IV Injection, Herpes Simplex Virus Infections Chickenpox Shingles Herpes labialis Genital herpes infection,Cipla Ltd
Asthalin 2 Tablet,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Cipla Ltd
Alex Cough Lozenges Sugar Free, Dry cough,Glenmark Pharmaceuticals Ltd
Aziwok 250 Tablet,Treatment of Bacterial infections,Dr Reddy's Laboratories Ltd
Azibest 500mg Tablet,Treatment of Bacterial infections,Blue Cross Laboratories Ltd
Amifru Plus Tablet, Edema,Torrent Pharmaceuticals Ltd
Amcard-AT Tablet,Treatment of Hypertension (high blood pressure),Systopic Laboratories Pvt Ltd
Amcard 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Systopic Laboratories Pvt Ltd
Amlopin-M Tablet PR,Treatment of Hypertension (high blood pressure),USV Ltd
Atorlip 40 Tablet, High cholesterolPrevention of Heart attack,Cipla Ltd
Atorva TG Tablet,Treatment of High cholesterolPrevention of Heart attack,Zydus Cadila
Airz-F Capsule, Chronic obstructive pulmonary disease (COPD),Glenmark Pharmaceuticals Ltd
Ageless Tablet, Nutritional deficiencies,Apex Laboratories Pvt Ltd
Ambrodil Tablet,Treatment of Respiratory tract disorders associated with viscid mucus,Aristo Pharmaceuticals Pvt Ltd
Asthakind Tablet,Treatment of Cough with mucus,Mankind Pharma Ltd
Analiv 500 Tablet,Treatment of Liver  disease,Systopic Laboratories Pvt Ltd
Arbitel-H Tablet,Treatment of Hypertension (high blood pressure),Micro Labs Ltd
Alcinac P 100mg/325mg Tablet, Pain relief,Leeford Healthcare Ltd
Amlodac AT Tablet,Treatment of Hypertension (high blood pressure),Zydus Cadila
Albutamol Neo Syrup,Treatment of Asthma,Centaur Pharmaceuticals Pvt Ltd
Apgel, Acne,Hegde and Hegde Pharmaceutical LLP
Albrim T Eye Drop,Treatment of Ocular hypertensionTreatment of Glaucoma,Alembic Pharmaceuticals Ltd
Amnurite Beta 10/40 ER Tablet, Migraine,Health N U Therapeutics Pvt Ltd
Aten AM Tablet,Treatment of Hypertension (high blood pressure),Zydus Cadila
Anin 500mg Injection,Prevention of Premature Labor,Ind Swift Laboratories Ltd
Anozest Cream,Treatment of Anal fissure,Quepreon Biologicals Pvt Ltd
Acidose 500mg Tablet,Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis,Renauxe Pharma India Pvt Ltd
Alerid Cold Tablet,Treatment of Common cold,Cipla Ltd
Altonil Syrup,Treatment of InsomniaTreatment of Jet lag,Alteus Biogenics Pvt Ltd
Alex Plus Paediatric Oral Drops,Treatment of Common cold,Glenmark Pharmaceuticals Ltd
Arifine 2.5 Tablet, Schizophrenia Mania,Icon Life Sciences
Augpen HS 200 mg/28.5 mg Suspension,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Zuventus Healthcare Ltd
Adiff Gel, Acne,Ipca Laboratories Ltd
Apidra 100IU/ml Solution for Injection, Diabetes,Sanofi India Ltd
Azulix 2 Tablet,Treatment of Type 2 diabetes mellitus,Torrent Pharmaceuticals Ltd
Aztogold 10 Capsule,Prevention of Heart attack,Sun Pharmaceutical Industries Ltd
Atazis 25mg Tablet,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Leeford Healthcare Ltd
Alerfix-M Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Eris Lifesciences Ltd
Angispan-TR 6.5mg Capsule,Treatment of Angina (heart-related chest pain),USV Ltd
Asthalin Rotacaps,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Cipla Ltd
Altiva 120mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Sun Pharmaceutical Industries Ltd
Assurans Tablet,Treatment of Pulmonary arterial hypertension (PAH),Cipla Ltd
Azulix 1 MF Forte Tablet PR,Treatment of Type 2 diabetes mellitus,Torrent Pharmaceuticals Ltd
Acnesol-NC Gel,Treatment of Acne,Systopic Laboratories Pvt Ltd
Alkazip Syrup,Treatment of GoutTreatment of Kidney stone,Leeford Healthcare Ltd
Atorva Gold 10 Capsule,Prevention of Heart attack,Zydus Cadila
Alides 5mg Tablet,Treatment of Allergic conditions,Leeford Healthcare Ltd
Atormac Gold 20 Capsule,Prevention of Heart attack,Macleods Pharmaceuticals Pvt Ltd
Azenam 1gm Injection, Severe bacterial infections,Aristo Pharmaceuticals Pvt Ltd
Alnitro 2.6 Tablet CR,Treatment of Angina (heart-related chest pain),Salud Care India Pvt Ltd
Advanced LCF Kid Expectorant, Cough,Lupin Ltd
Abhayrab-PF Vaccine, Prevention of Rabies,Indian Immunologicals Ltd
Absenz Syrup,Treatment of Epilepsy/Seizures,Sun Pharmaceutical Industries Ltd
Arbitel-MT 25 Tablet ER,Treatment of Hypertension (high blood pressure),Micro Labs Ltd
Allercet-L Tablet,Treatment of Allergic conditions,Micro Labs Ltd
Aisa  Tablet, Nutritional deficiencies,Apex Laboratories Pvt Ltd
Acrotac 10mg Capsule, Psoriasis,Sun Pharmaceutical Industries Ltd
Amlosafe MT 50 Tablet PR,Treatment of Hypertension (high blood pressure),Aristo Pharmaceuticals Pvt Ltd
Apetamin Syrup,Treatment of Allergic conditions Appetite stimulant,Tablets India Limited
Aztor EZ Tablet, High cholesterol,Sun Pharmaceutical Industries Ltd
Amodep-TM Tablet,Treatment of Hypertension (high blood pressure),FDC Ltd
Axcer  60mg Tablet, Prevention of heart attack and stroke,Sun Pharmaceutical Industries Ltd
Acnetoin Gel,Treatment of Acne,Leeford Healthcare Ltd
Amlokind-Beta 50 Tablet PR,Treatment of Hypertension (high blood pressure),Mankind Pharma Ltd
